lon,lat,prk_img,nam,addres,pincod,ward,borough,maxlat,minlat,maxlng,minlng,gid
88.391286215130037,22.611235228841604,I_03_North_Sanghati_Uddyan,North Sanghati Uddyan,"21/22, Raja Manindra Road",700037,3,1,88.39128621513,88.39128621513,22.6112352288416,22.6112352288416,0
88.381499999999988,22.582555555555555,III_29_Saheed_Bhagat_Singh_Uddyan,Saheed Bhagat Sing Uddyan,"238, Maniktala Road",700054,29,3,88.3815,88.3815,22.5825555555556,22.5825555555556,0
88.377555555555546,22.584333333333333,II_15_Roadside_Park,KMC Garden / Roadside Park,"289/C, Vivekananda Road",700006,15,2,88.3775555555555,88.3775555555555,22.5843333333333,22.5843333333333,0
88.392361111111114,22.612611111111111,I_03_Satya_Bandopadhya_Smriti_Uddyan,Satya Bandopadhya Smriti Uddyan,"31, J.K.Mitra Rd",700037,3,1,88.3923611111111,88.3923611111111,22.6126111111111,22.6126111111111,0
88.410138888888895,22.558805555555555,III_33_Sishu_Uddyan,Sishu Uddyan,"Beleghata Building More, Chingrighata",700010,33,3,88.4101388888889,88.4101388888889,22.5588055555556,22.5588055555556,0
88.387916666666669,22.564666666666668,III_34_Kabi_Sukanta_Uddyan,Kabi Sukanta Uddyan,"Beleghata P.O. Math, 13, Beliaghata Main Road, Barowaritala Rd.",700010,34,3,88.3879166666667,88.3879166666667,22.5646666666667,22.5646666666667,0
88.374777777777766,22.622250000000001,I_01_Awami_Park,Awami Park,"96, Kashipur Road",700002,1,1,88.3747777777778,88.3747777777778,22.62225,22.62225,0
88.391277777777788,22.604694444444444,I_03_KMC_Garden,KMC Garden,3B Bus stand,700037,3,1,88.3912777777778,88.3912777777778,22.6046944444444,22.6046944444444,0
88.391472222222234,22.613222222222223,I_03_Childrens_Park_and_Playground,Childrens Park and Playground,"29, Jiban Mitra Road",700037,3,1,88.3914722222222,88.3914722222222,22.6132222222222,22.6132222222222,0
88.390722222222223,22.609694444444447,I_03_Saheed_Subhash_Saha_Uddyan,Saheed Subhash Saha Uddyan,"22, Raja Manindra Road",700037,3,1,88.3907222222222,88.3907222222222,22.6096944444444,22.6096944444444,0
88.392583333333334,22.610055555555562,I_03_Duttabagan_Sishu_Mahal_Prabhat_Uddyan,Duttabagan Sishu Mahal Prabhat Uddyan,"42, J.K.Mitra Rd",700037,3,1,88.3925833333333,88.3925833333333,22.6100555555556,22.6100555555556,0
88.388194444444451,22.610750000000003,I_03_Nou_Bidrohi_Bir_Phonibhushan_Bhattacharya_Uddyan,Nou Bidrohi Bir Phonibhushan Bhattacharya Uddyan,Raja Manindra Road,700037,3,1,88.3881944444445,88.3881944444445,22.61075,22.61075,0
88.389527777777786,22.611055555555556,I_03_Sishu_Saathi,Sishu Saathi,"21, Raja Manindra Road",700037,3,1,88.3895277777778,88.3895277777778,22.6110555555556,22.6110555555556,0
88.383722222222247,22.602888888888891,I_03_Sishu_Uddyan,Sishu Uddyan,"1/2A, J.K. Ghosh Road, Belgachia",700037,3,1,88.3837222222222,88.3837222222222,22.6028888888889,22.6028888888889,0
88.385166666666677,22.601833333333335,I_03_Childrens_Garden,Childrens Garden,"1/6N, J.K. Ghosh Road",700037,3,1,88.3851666666667,88.3851666666667,22.6018333333333,22.6018333333333,0
88.381166666666658,22.615444444444442,I_04_Kheyali_Park,Kheyali Park o Sishu Uddyan,"3/3B, Rani Debendra Bala Road",700002,4,1,88.3811666666667,88.3811666666667,22.6154444444444,22.6154444444444,0
88.387611111111113,22.617277777777780,I_04_Triangular_Park,Triangular Park,Shreenath Mukherjee Lane,700030,4,1,88.3876111111111,88.3876111111111,22.6172777777778,22.6172777777778,0
88.389277777777778,22.604055555555554,I_03_Kheyali_Sishu_Uddyan,Sonar Tari / Kheyali Sishu Uddyan,"7, Kundu Lane",700037,3,1,88.3892777777778,88.3892777777778,22.6040555555556,22.6040555555556,0
88.390555555555565,22.560277777777777,VII_57_Rani_Rasmoni_Garden,Rani Rasmoni Garden,Near Cement Pole,700015,57,7,88.3905555555556,88.3905555555556,22.5602777777778,22.5602777777778,0
88.354916666666668,22.464861111111109,XI_113_Pirpukur_Park,Pirpukur Park,"Pirpukur Road, Basdroni",700070,113,11,88.3549166666667,88.3549166666667,22.4648611111111,22.4648611111111,0
88.356416666666661,22.466361111111109,XI_112_Bansdroni_Sammilani_Park,Bansdroni Sammilani Park,,700070,112,11,88.3564166666667,88.3564166666667,22.4663611111111,22.4663611111111,0
88.355888888888884,22.464805555555554,XI_112_Pally_Mongal_Unnayan_Samity_Park,Pally Mongal Unnayan Samity Park,,700070,112,11,88.3558888888889,88.3558888888889,22.4648055555556,22.4648055555556,0
88.356944444444437,22.463833333333334,XI_112_Naba_Tarun_Sangha_Park,Naba Tarun Sangha Park,Bansdroni,700070,112,11,88.3569444444444,88.3569444444444,22.4638333333333,22.4638333333333,0
88.359722222222217,22.467805555555550,XI_112_Postal_Park_Sishu_Uddyan,Postal Park Sishu Uddyan,"150, Postal Park, Raynagar, Basdroni",700070,112,11,88.3597222222222,88.3597222222222,22.4678055555556,22.4678055555556,0
88.359833333333327,22.468166666666665,XI_112_Arunodoy_Sangha_Park,Arunodoy Sangha Park,,700070,112,11,88.3598333333333,88.3598333333333,22.4681666666667,22.4681666666667,0
88.363638888888886,22.466027777777779,XI_112_Brahmapur_Agradut_Park,Brahmapur Agradut Park,,700070,112,11,88.3636388888889,88.3636388888889,22.4660277777778,22.4660277777778,0
